SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
Queen Alexandra Elem.,49.26197055,-123.07592057,1300 E Broadway,http://www.vsb.bc.ca/schools/queen-alexandra
Queen Mary Elem.,49.267856423,-123.20479699,2000 Trimble St,http://www.vsb.bc.ca/http://www.vsb.bc.ca/schools/queen-mary
Fraser Elem.,49.2571713563496,-123.108196899433,100 W 15th Av,http://www.vsb.bc.ca/
L'Ecole Bilingue Elem.,49.258084034,-123.1303864,1166 W 14th Av,http://www.vsb.bc.ca/schools/lecole-bilingue
Carr Elem.,49.250041653,-123.12609641,4070 Oak St,http://www.vsb.bc.ca/schools/emily-carr
Wolfe Elem.,49.247228707,-123.10596494,4251 Ontario St,http://www.vsb.bc.ca/schools/general-wolfe
Lord Nelson Elem.,49.272507738,-123.05971209,2235 Kitchener St,http://www.vsb.bc.ca/schools/lord-nelson
Tennyson Elem.,49.262518935,-123.14937705,1936 W 10th Av,http://www.vsb.bc.ca/schools/lord-tennyson
McBride Elem.,49.24415661,-123.07817551,1300 E 29th Av,http://www.vsb.bc.ca/schools/sir-richard-mcbride
Grenfell Elem.,49.2428916216093,-123.034807374541,3323 Wellington Av,http://www.vsb.bc.ca/schools/sir-wilfred-grenfell
Tecumseh Elem.,49.232055743,-123.06800394,1850 E 41st Av,http://www.vsb.bc.ca/schools/tecumseh
Elsie Roy Elem.,49.272238,-123.122482,150 Drake St,http://www.vsb.bc.ca/schools/elsie-roy
Collingwood Neighbourhood School,49.236551,-123.03288,3417 Euclid Av,http://www.vsb.bc.ca/schools/collingwood-neighbourhood-bruce-annex
Walter Moberly Elem.,49.216109231,-123.08434542,1000 E 59th Av,http://www.vsb.bc.ca/schools/walter-moberly
Waverley Elem.,49.227837226,-123.05578593,6111 Elliott St,http://www.vsb.bc.ca/schools/waverley
VLN - Secondary,49.2319589658739,-123.091869475134,530 E 41st Av,http://www.vsb.bc.ca/schools/vancouver-learning-network-secondary-0
VLN - Elementary,49.275399523275,-123.049806085058,1025 Slocan St,http://www.vsb.bc.ca/schools/vanocuver-learning-network-elementary
