PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
Devonian Harbour Park,49.2942153689075,-123.135756898945,1929 W Georgia St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=18
Devonshire Park,49.2448124056222,-123.132881223679,1250 Devonshire Crescent,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Douglas Park,49.2529172469768,-123.121277422182,801 W 22nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=175
Dusty Greenwell Park,49.2923351936506,-123.048718050848,2799 Wall St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=71
Earles Park,49.2334932167929,-123.047680572114,2801 E 41st Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=152
Ebisu Park,49.205397,-123.131947,8810 Olser St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=236
Eburne Park,49.2065426804836,-123.129182350598,950 W 71st Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=123
Elm Park,49.233745341315,-123.163485697533,5800 Elm St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=91
Emery Barnes Park,49.2763799782208,-123.124070982259,Davie St And Richards St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
English Bay Beach Park,49.2862192508987,-123.1438279459,1700 Beach Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=201
Everett Crowley Park,49.2111115319048,-123.038076395858,8200 Kerr St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=101
Falaise Park,49.2550363913572,-123.029649285894,3434 Falaise Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Foster Park,49.2338669436817,-123.028734010625,5501 Aberdeen St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=154
Fraser River Park,49.2082761413955,-123.151840566964,8705 Angus Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=92
Fraser River Trail,49.200357,-123.135862, Hudson Street on the Fraser River,http://vancouver.ca/parks/
Fraserview Golf Course,49.2118824304811,-123.048287252301,7800 Vivian Drive,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Fraserview Park,49.2153662293405,-123.067373431906,7595 Victoria Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=192
Garden Park,49.2681633681546,-123.059027548415,1851 Garden Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=51
Gaston Park,49.2362315737881,-123.031189928507,3470 Crowley Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=155
General Brock Park,49.2445993809841,-123.058590260256,2301 Brock St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
George Park,49.2124494018771,-123.094157805288,500 E 63rd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=184
George Wainborn Park,49.2724892097576,-123.129344039829,450 Beach Crescent,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Gladstone-Riverside Park,49.2056806773078,-123.062390268587,2500 E Kent Av South,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=193
Glen Park,49.2496122402709,-123.08287573387,3999 Glen Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=83
Gordon Park,49.2234790455431,-123.070453975615,6675 Commercial St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=194
Grandview Park,49.2735192173381,-123.070538525034,1657 Charles St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=52
Granville Island Water Park,49.2696177313406,-123.135012388229,"False Creek Community Centre, Granville Island",http://www.city.vancouver.bc.ca/parks/parks/index.htm
Granville Loop Park,49.2673871453161,-123.137336503372,1435 W 5th Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Granville Park,49.2583982455136,-123.141682069433,3001 Fir St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=44
Grays Park,49.2409805689217,-123.085052746274,4850 St. Catherines St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Grimmett Park,49.2539061342289,-123.101997287889,169 E 19th Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
